Season,Player,ID,Team
1897,Henry Crane,4426,Carlton
1897,Jack Frost,4429,Carlton
1897,Jim Lyons,4437,Carlton
1897,Oscar Manchester,4438,Carlton
1897,Harry Morgan,4440,Carlton
1897,Sam Reid,4446,Carlton
1897,Jack Roberts,4447,Carlton
1897,Bobby Walsh,4449,Carlton
1897,Hugh Gavin,4321,Essendon
1897,Arthur Leach,4327,Essendon
1897,Charlie Moore,4330,Essendon
1897,Jimmy Thurgood,4339,Essendon
1897,George Vautin,4340,Essendon
1897,Jim Dowdall,4458,Collingwood
1897,Danny Flaherty,4459,Collingwood
1897,Denis Lanigan,4468,Collingwood
1897,Fred Leach,4469,Collingwood
1897,Alby Tame,4482,Collingwood
1897,Mac Armstrong,4381,Geelong
1897,Bert Barling,4382,Geelong
1897,Sam Brockwell,4383,Geelong
1897,Charlie Coles,4385,Geelong
1897,Jim Flynn,4388,Geelong
1897,Cecil Sandford,4410,Geelong
1897,Fred White,4413,Geelong
1897,Henry Young,4414,Geelong
1897,Charlie Cameron,4346,Fitzroy
1897,Bill Cleary,4347,Fitzroy
1897,Tim Curran,4348,Fitzroy
1897,Alex Davidson,4350,Fitzroy
1897,Joe Kerrigan,4357,Fitzroy
1897,Paddy Noonan,4371,Fitzroy
1897,Mick Peppard,4372,Fitzroy
1897,Stan Reid,4374,Fitzroy
1897,Bert Sharpe,4376,Fitzroy
1897,Alf Healing,4208,Melbourne
1897,Maurie Herring,4209,Melbourne
1897,Lew Massey,4217,Melbourne
1897,Dave Strahan,4232,Melbourne
1897,Dick Wardill,4235,Melbourne
1897,Mick Blake,4244,St Kilda
1897,Charlie Cox,4247,St Kilda
1897,John Grieve,4252,St Kilda
1897,Joe Hogan,4255,St Kilda
1897,Charlie Howell,4256,St Kilda
1897,George Rutherford,4271,St Kilda
1897,Fred Stewart,4275,St Kilda
1897,Fred Whitelaw,4278,St Kilda
1897,Dick Doran,4286,Sydney
1897,Jack Fleming,4287,Sydney
1897,Horrie Lyons,4292,Sydney
1897,Frank OHara,4296,Sydney
1897,George Williamson,4306,Sydney
1897,Herbie Lowenthal,4436,Carlton
1897,Herman Hellwig,4465,Collingwood
1897,Fred Kay,4467,Collingwood
1897,Tom Lee,4470,Collingwood
1897,Edgar Croft,4317,Essendon
1897,Gus Kearney,4325,Essendon
1897,Archie Sykes,4338,Essendon
1897,Hugh McEwen,4362,Fitzroy
1897,Alec Sloan,4377,Fitzroy
1897,Stewart Geddes,4204,Melbourne
1897,Walter Lyon,4216,Melbourne
1897,John Timothee,4234,Melbourne
1897,Harry Duigan,4248,St Kilda
1897,George McLeod,4262,St Kilda
1897,Peter Williams,4452,Carlton
1897,Jimmy Russell,4227,Melbourne
1897,Eddie Sholl,4230,Melbourne
1897,Alby Stamp,4336,Essendon
1897,Dan Collins,4245,St Kilda
1897,Mick OHagan,4269,St Kilda
1897,Emery Staines,4273,St Kilda
1897,Herb Nolan,4368,Fitzroy
1897,George Davidson,4284,Sydney
1897,Jim Goonan,4430,Carlton
1897,Jack Graham,4207,Melbourne
