,Player,ID,Team,Opponent,Round,Kicks,Marks,Hand.Balls,Disp,Goals,Behinds,Hit.Outs,Tackles,Rebounds,Inside.50,Clearances,Clangers,Frees.For,Frees.Against,Brownlow,Uncontested.Possessions,Contested.Possessions,Contested.Marks,Marks.Inside.50,One.Percenters,Bounces,Goal.Assists,X..Time.Played
8143,Keegan Brooksby,12362,GC,ES,22,6,2,6,12,0,0,19,4,0,0,3,3,3,1,0,7,6,0,0,5,0,0,79
8144,Brayden Fiorini,12481,GC,ES,22,10,6,8,18,0,0,0,3,3,2,2,1,0,0,0,4,13,0,0,1,0,0,77
8145,Aaron Hall,12041,GC,ES,22,17,8,14,31,0,0,0,3,4,6,2,5,1,2,0,9,22,1,0,0,0,1,78
8146,Mitch Hallahan,12271,GC,ES,22,13,5,10,23,1,0,0,4,3,2,5,3,1,1,0,8,15,0,0,1,0,1,70
8147,Pearce Hanley,11704,GC,ES,22,15,5,8,23,0,0,0,6,3,2,2,3,1,0,0,7,16,0,0,0,2,0,85
8148,Jarrod Harbrow,11555,GC,ES,22,7,3,5,12,0,0,0,3,0,0,1,4,0,0,0,3,8,0,0,2,0,0,87
8149,Jesse Joyce,12449,GC,ES,22,7,5,9,16,0,0,0,1,2,0,0,1,2,0,0,8,8,1,0,3,0,0,87
8150,Jack Leslie,12309,GC,ES,22,6,4,6,12,0,0,0,0,4,2,0,0,1,0,0,2,10,0,0,9,0,0,94
8151,Jesse Lonergan,12180,GC,ES,22,2,1,10,12,0,0,0,0,1,1,2,5,0,3,0,4,9,0,0,1,2,0,75
8152,Darcy Macpherson,12438,GC,ES,22,2,2,3,5,1,0,0,3,0,0,0,2,0,0,0,1,4,0,1,1,0,0,86
8153,Jack Martin,12236,GC,ES,22,17,7,1,18,1,1,0,1,3,3,1,5,3,1,0,10,9,2,0,3,0,0,85
8154,Steven May,11940,GC,ES,22,15,8,10,25,0,1,0,3,8,2,0,5,0,1,0,8,14,0,0,9,1,0,95
8155,Trent McKenzie,11912,GC,ES,22,21,9,3,24,0,0,0,3,9,0,0,1,1,0,0,4,17,1,0,4,0,0,82
8156,Touk Miller,12331,GC,ES,22,6,1,10,16,0,0,0,4,0,2,2,1,2,0,0,8,8,0,0,0,0,1,83
8157,Matt Rosa,4133,GC,ES,22,9,5,12,21,0,0,0,2,1,2,3,3,2,2,0,5,17,0,0,0,0,1,84
8158,Adam Saad,12330,GC,ES,22,5,1,4,9,0,0,0,3,2,2,0,3,0,3,0,2,9,0,0,6,6,0,76
8159,Josh Schoenfeld,12466,GC,ES,22,3,2,3,6,1,0,0,0,1,0,0,1,0,0,0,2,3,0,1,0,0,0,78
8160,Max Spencer,12568,GC,ES,22,7,3,4,11,0,0,0,1,1,0,2,2,1,1,0,6,6,0,0,5,0,0,85
8161,David Swallow,11919,GC,ES,22,13,3,7,20,1,1,0,4,3,2,4,2,2,0,0,8,11,0,0,2,0,1,78
8162,Peter Wright,12366,GC,ES,22,5,5,3,8,1,0,8,0,0,0,0,0,0,0,0,3,5,2,1,1,0,0,86
8163,Patrick Ambrose,12239,ES,GC,22,7,4,6,13,0,0,0,3,2,2,0,3,0,1,0,3,11,1,0,8,0,0,91
8164,Mark Baguley,12107,ES,GC,22,14,9,11,25,0,0,0,1,3,1,0,2,0,1,0,9,16,0,0,7,1,0,89
8165,Josh Begley,12574,ES,GC,22,10,7,3,13,2,1,0,2,1,3,0,2,0,2,0,2,11,1,3,0,0,3,78
8166,Tom Bellchambers,11675,ES,GC,22,16,6,4,20,0,2,34,2,1,3,5,4,1,1,2,13,8,2,1,0,0,0,84
8167,Craig Bird,11635,ES,GC,22,12,2,11,23,0,0,0,4,0,5,3,3,0,0,0,7,18,0,0,3,0,0,79
8168,Joe Daniher,12199,ES,GC,22,6,4,4,10,1,0,3,1,0,2,0,3,1,2,0,5,5,3,1,2,0,0,96
8169,Martin Gleeson,12240,ES,GC,22,12,6,4,16,0,0,0,4,1,2,0,1,3,1,0,5,11,0,0,7,0,0,82
8170,Brendon Goddard,1443,ES,GC,22,13,14,12,25,0,0,0,2,3,3,0,3,0,1,0,4,21,1,0,2,1,0,85
8171,Josh Green,11960,ES,GC,22,9,1,3,12,1,2,0,4,1,2,1,4,2,1,0,6,5,0,1,0,0,0,67
8172,Michael Hartley,12419,ES,GC,22,12,6,6,18,0,0,0,4,0,5,0,2,2,1,0,9,10,1,0,6,0,0,89
8173,Dyson Heppell,11896,ES,GC,22,15,8,9,24,1,0,0,4,0,5,6,3,2,0,1,11,13,0,0,3,1,1,83
8174,Cale Hooker,11702,ES,GC,22,8,9,11,19,2,2,0,2,0,1,1,3,0,2,0,8,11,4,4,1,0,0,84
8175,James Kelly,1141,ES,GC,22,11,9,11,22,0,0,0,5,0,2,0,5,0,4,0,5,17,1,0,2,0,0,80
8176,Jayden Laverde,12377,ES,GC,22,10,5,6,16,0,3,0,6,0,3,0,2,1,1,0,4,12,0,1,1,0,1,79
8177,Anthony McDonald-Tipungwuti,12407,ES,GC,22,8,5,7,15,1,0,0,4,0,3,1,0,1,0,0,5,11,0,1,4,0,1,81
8178,Andrew McGrath,12491,ES,GC,22,13,6,12,25,0,0,0,2,4,1,3,4,1,1,0,7,19,0,0,0,0,0,73
8179,Conor McKenna,12391,ES,GC,22,7,3,7,14,1,0,0,0,0,2,0,1,0,0,0,7,7,0,0,2,4,0,82
8180,Zach Merrett,12241,ES,GC,22,12,3,11,23,0,0,0,5,2,5,5,1,4,0,0,11,11,0,0,0,1,0,79
8181,David Myers,11663,ES,GC,22,11,6,6,17,0,1,0,5,0,5,3,2,0,0,0,4,12,0,1,0,0,0,79
8182,Darcy Parish,12406,ES,GC,22,8,4,13,21,1,0,0,2,1,1,3,0,0,0,0,8,12,0,0,1,0,0,70
8183,James Stewart,12232,ES,GC,22,6,5,3,9,2,1,1,1,0,0,0,1,0,1,0,4,6,1,3,2,0,0,81
8184,David Zaharakis,11729,ES,GC,22,23,5,15,38,0,0,0,4,1,15,5,5,0,0,3,10,28,0,0,2,0,3,89
8185,Angus Brayshaw,12322,ME,BL,22,11,8,6,17,1,0,0,2,1,2,0,0,0,0,0,3,14,1,1,2,0,1,63
8186,Jeff Garlett,11711,ME,BL,22,4,2,4,8,2,1,0,2,0,2,0,0,1,0,0,2,5,0,2,2,1,1,88
8187,Max Gawn,11966,ME,BL,22,3,3,6,9,0,0,38,0,3,1,2,1,0,1,0,4,5,1,0,0,0,0,86
8188,Mitch Hannan,12492,ME,BL,22,8,1,6,14,0,1,0,3,0,2,2,4,3,0,0,6,8,0,0,1,0,2,83
8189,James Harmes,12379,ME,BL,22,9,3,4,13,1,0,0,3,1,4,0,3,0,0,0,4,11,1,1,2,0,1,73
8190,Michael Hibberd,11938,ME,BL,22,13,7,10,23,0,0,0,4,6,2,0,4,1,1,0,12,10,2,0,1,0,1,95
8191,Jesse Hogan,12321,ME,BL,22,10,9,5,15,6,0,0,1,0,1,0,3,1,0,3,7,9,2,8,1,0,1,86
8192,Jayden Hunt,4729,ME,BL,22,9,1,9,18,0,0,0,5,1,2,3,6,1,0,0,5,12,0,0,2,2,0,91
