,Player,ID,Team,Opponent,Round,Kicks,Marks,Hand.Balls,Disp,Goals,Behinds,Hit.Outs,Tackles,Rebounds,Inside.50,Clearances,Clangers,Frees.For,Frees.Against,Brownlow,Uncontested.Possessions,Contested.Possessions,Contested.Marks,Marks.Inside.50,One.Percenters,Bounces,Goal.Assists,X..Time.Played
1,David Astbury,11828,RI,CA,1,7,3,6,13,0,0,0,2,1,0,0,1,3,0,0,7,6,1,0,2,0,0,100
2,Dan Butler,12490,RI,CA,1,12,1,7,19,2,1,0,3,0,5,1,2,0,2,0,5,11,0,0,0,0,1,86
3,Josh Caddy,12010,RI,CA,1,9,3,8,17,1,1,0,2,3,0,3,2,0,2,0,9,9,0,0,0,0,1,77
4,Jason Castagna,12431,RI,CA,1,12,3,8,20,2,4,0,4,1,5,2,4,2,3,0,10,13,0,3,0,0,1,83
5,Reece Conca,11888,RI,CA,1,13,4,6,19,0,1,0,5,2,3,0,3,0,0,0,4,14,0,0,2,0,0,81
6,Trent Cotchin,11666,RI,CA,1,11,3,10,21,1,0,0,8,2,5,8,3,1,1,0,12,10,0,1,2,0,0,79
7,Shane Edwards,11557,RI,CA,1,5,3,10,15,1,1,0,2,0,0,1,1,0,0,0,9,8,0,2,1,2,0,68
8,Brandon Ellis,12034,RI,CA,1,11,0,10,21,0,0,0,1,4,3,1,2,0,2,0,6,14,0,0,1,0,0,89
9,Ben Griffiths,11850,RI,CA,1,5,4,4,9,0,0,8,6,1,4,1,4,0,3,0,6,4,1,0,1,0,0,80
10,Shaun Grigg,11594,RI,CA,1,16,4,11,27,1,0,0,6,0,8,4,3,2,1,0,8,19,0,0,3,0,2,85
11,Dylan Grimes,11879,RI,CA,1,4,1,7,11,0,0,0,7,3,1,0,1,0,0,0,6,5,0,0,3,0,0,81
12,Bachar Houli,11566,RI,CA,1,4,1,10,14,0,0,0,3,0,2,1,1,0,0,0,5,9,0,0,0,0,0,69
13,Taylor Hunt,11851,RI,CA,1,1,0,8,9,0,0,0,0,0,0,0,2,0,1,0,5,4,0,0,0,0,0,77
14,Sam Lloyd,12263,RI,CA,1,5,3,5,10,1,0,0,1,0,1,0,3,1,0,0,6,3,1,1,0,0,0,73
15,Dustin Martin,11794,RI,CA,1,23,5,10,33,4,0,0,4,4,6,6,5,1,2,3,13,21,1,1,1,0,4,89
16,Kamdyn McIntosh,12317,RI,CA,1,11,5,5,16,0,0,0,1,1,5,0,3,0,0,0,4,12,1,0,4,1,0,76
17,Toby Nankervis,12374,RI,CA,1,7,3,1,8,2,0,27,3,2,2,3,0,0,0,0,6,1,3,1,1,0,0,78
18,Dion Prestia,11917,RI,CA,1,15,2,13,28,1,0,0,5,3,3,6,2,0,0,2,9,17,0,0,1,0,1,77
19,Alex Rance,11733,RI,CA,1,7,4,2,9,0,0,0,3,3,1,0,4,0,3,0,5,6,0,0,8,0,0,93
20,Jack Riewoldt,11576,RI,CA,1,10,5,2,12,1,1,0,7,0,4,1,4,2,1,0,6,5,1,4,2,0,1,96
21,Daniel Rioli,12403,RI,CA,1,6,3,4,10,2,0,0,2,0,2,1,2,0,2,0,5,6,1,1,0,0,1,85
22,Nick Vlastuin,12174,RI,CA,1,6,5,5,11,1,0,0,12,3,1,1,3,0,2,0,3,8,1,2,1,0,1,78
23,Dennis Armfield,11673,CA,RI,1,1,2,5,6,1,0,0,1,0,0,0,2,0,1,0,1,5,0,0,0,0,0,82
24,Levi Casboult,12114,CA,RI,1,5,4,5,10,1,1,11,2,0,2,1,3,1,1,0,7,3,3,2,1,0,0,81
25,Patrick Cripps,12261,CA,RI,1,10,3,9,19,0,0,0,5,1,5,3,2,0,0,0,5,14,0,0,0,0,0,84
26,Charlie Curnow,12421,CA,RI,1,7,4,1,8,0,0,0,5,0,4,0,3,0,1,0,2,6,0,0,1,0,0,76
27,Ed Curnow,11883,CA,RI,1,13,5,6,19,0,0,0,4,0,3,5,4,1,2,0,5,11,0,0,0,2,0,86
28,Sam Docherty,12170,CA,RI,1,18,6,6,24,0,0,0,1,6,4,0,4,2,0,0,5,15,0,0,1,2,0,88
29,Bryce Gibbs,11535,CA,RI,1,14,4,12,26,1,1,0,6,3,4,7,4,2,2,0,15,10,0,2,1,0,1,79
30,Matthew Kreuzer,11645,CA,RI,1,11,4,4,15,2,0,39,4,1,2,4,3,0,0,0,8,8,1,2,3,0,1,84
31,Harrison Macreadie,12488,CA,RI,1,3,1,4,7,0,0,0,4,1,0,0,0,1,0,0,3,4,0,0,2,0,0,81
32,Caleb Marchbank,12369,CA,RI,1,15,8,4,19,0,0,0,2,6,1,0,5,2,3,0,10,9,3,0,5,0,0,88
33,Marc Murphy,4148,CA,RI,1,21,6,14,35,0,0,0,7,3,6,7,4,2,0,1,18,18,0,0,0,1,2,76
34,Sam Petrevski-Seton,12487,CA,RI,1,7,2,4,11,0,0,0,7,3,2,3,0,2,0,0,8,3,0,0,1,0,0,71
35,Jarrod Pickett,12489,CA,RI,1,2,2,3,5,0,0,0,3,0,1,0,0,0,0,0,2,3,1,1,2,2,1,68
36,Lachie Plowman,12142,CA,RI,1,12,10,8,20,0,0,0,1,2,0,0,0,1,0,0,5,15,2,0,12,0,0,92
37,Sam Rowe,12157,CA,RI,1,6,1,6,12,0,0,0,1,2,0,0,2,2,1,0,7,5,0,0,15,0,0,100
38,Jack Silvagni,12458,CA,RI,1,8,5,3,11,2,2,0,1,0,3,0,1,1,0,0,4,8,0,4,0,0,1,79
39,Kade Simpson,1456,CA,RI,1,22,7,11,33,0,0,0,3,6,3,4,4,5,0,0,12,20,0,0,1,1,0,92
40,Billie Smedts,12044,CA,RI,1,8,5,9,17,0,0,0,1,1,1,3,1,0,0,0,5,11,1,0,0,0,0,70
41,Dale Thomas,4152,CA,RI,1,12,6,5,17,1,0,0,1,0,5,0,4,0,1,0,2,15,1,0,0,0,1,76
42,Jacob Weitering,12402,CA,RI,1,6,7,4,10,3,0,0,0,0,2,0,1,0,0,0,4,7,1,3,2,0,1,76
43,Simon White,11826,CA,RI,1,7,3,3,10,0,0,0,3,3,0,0,2,1,0,0,3,6,0,0,8,0,0,85
44,Matthew Wright,11929,CA,RI,1,7,4,7,14,3,0,0,5,0,0,1,0,2,0,0,7,7,1,1,0,0,0,86
45,Taylor Adams,12066,CW,WB,1,20,6,13,33,0,0,0,12,3,4,7,4,2,1,0,14,20,0,0,1,0,1,76
46,Jarryd Blair,11855,CW,WB,1,6,3,9,15,0,2,0,4,0,3,3,3,1,1,0,13,4,0,0,1,0,1,80
47,Mason Cox,12428,CW,WB,1,3,1,5,8,0,1,21,0,0,0,0,3,1,1,0,5,3,1,1,3,0,0,69
48,Jack Crisp,12061,CW,WB,1,11,6,6,17,0,0,0,3,0,1,1,2,0,1,0,3,15,0,0,2,0,0,77
49,Alex Fasolo,11977,CW,WB,1,13,8,9,22,3,3,0,3,0,2,1,0,1,0,0,11,11,2,4,0,0,0,85
50,Tyson Goldsack,11568,CW,WB,1,5,1,3,8,1,0,0,2,1,0,0,0,1,0,0,2,4,0,0,3,0,0,75
51,Brodie Grundy,12217,CW,WB,1,7,7,5,12,0,0,29,4,0,1,1,1,0,1,0,4,8,1,0,0,0,1,75
52,Will Hoskin-Elliott,12026,CW,WB,1,15,8,7,22,1,0,0,1,2,6,1,0,2,0,0,6,15,1,1,2,0,0,90
53,Jeremy Howe,11967,CW,WB,1,16,11,10,26,0,0,0,3,4,1,0,1,1,0,0,11,14,5,0,4,0,0,92
54,Brayden Maynard,12371,CW,WB,1,11,7,5,16,0,0,0,4,3,2,1,1,0,1,0,4,12,0,0,5,0,0,83
55,Chris Mayne,11642,CW,WB,1,9,4,4,13,1,1,0,5,0,3,0,3,1,1,0,5,8,0,1,0,0,1,75
56,Darcy Moore,12372,CW,WB,1,7,4,3,10,0,1,0,1,0,2,0,4,0,1,0,4,6,0,1,1,0,0,83
57,Scott Pendlebury,4182,CW,WB,1,16,3,19,35,2,0,0,6,3,6,10,2,4,0,3,24,13,0,0,4,0,0,82
58,Tom Phillips,12452,CW,WB,1,12,2,14,26,0,0,0,4,1,3,4,3,0,0,0,9,18,0,0,1,0,1,80
59,Jackson Ramsay,12308,CW,WB,1,12,5,13,25,0,1,0,3,1,4,0,4,1,3,0,8,20,0,0,1,0,0,90
60,Ben Reid,11589,CW,WB,1,7,7,5,12,0,0,0,1,1,0,1,2,0,0,0,1,12,0,0,5,0,0,83
61,Henry Schade,12348,CW,WB,1,4,4,6,10,0,0,0,0,0,0,0,1,0,1,0,1,9,0,0,4,0,0,85
62,Steele Sidebottom,11751,CW,WB,1,17,4,18,35,2,0,0,3,1,4,6,1,1,0,1,9,24,0,1,2,1,0,87
63,Josh Smith,12427,CW,WB,1,14,6,6,20,0,0,0,1,4,3,0,1,0,1,0,5,15,0,0,3,0,0,92
64,Adam Treloar,12054,CW,WB,1,20,8,13,33,1,0,0,3,3,10,6,5,0,1,0,11,23,0,1,0,0,0,75
65,Travis Varcoe,11549,CW,WB,1,8,5,7,15,0,1,0,2,0,3,0,2,1,1,0,6,8,1,2,0,0,2,78
66,Jesse White,11657,CW,WB,1,13,8,5,18,1,1,0,2,0,3,0,2,0,1,0,5,14,1,1,1,1,1,85
67,Shane Biggs,12228,WB,CW,1,14,5,3,17,0,0,0,3,4,1,0,4,1,1,0,2,16,0,0,2,0,0,80
68,Marcus Bontempelli,12269,WB,CW,1,8,3,14,22,2,0,0,4,3,4,1,1,0,0,0,12,11,0,0,2,0,1,82
69,Matthew Boyd,1450,WB,CW,1,14,2,12,26,1,1,0,2,1,1,1,1,0,0,0,6,20,0,0,3,0,1,80
70,Tom Boyd,12270,WB,CW,1,1,1,4,5,0,0,24,2,0,1,1,4,0,3,0,2,6,0,0,6,0,0,88
71,Travis Cloke,4086,WB,CW,1,12,6,2,14,1,0,1,1,0,3,2,2,2,0,0,9,6,2,2,1,0,2,82
72,Zaine Cordy,12392,WB,CW,1,10,2,4,14,0,0,0,2,4,1,1,4,2,3,0,4,11,0,0,7,0,0,89
73,Stewart Crameri,11872,WB,CW,1,8,4,9,17,1,0,0,4,2,2,1,4,1,3,0,9,7,0,0,1,0,2,75
74,Luke Dahlhaus,11974,WB,CW,1,9,4,15,24,0,1,0,7,1,2,5,2,1,0,0,11,14,0,0,0,0,0,75
75,Caleb Daniel,12373,WB,CW,1,10,1,12,22,0,0,0,2,1,1,2,3,0,1,0,7,16,0,0,3,0,0,77
76,Lachie Hunter,12203,WB,CW,1,13,6,8,21,3,0,0,2,0,3,0,1,2,0,0,5,15,0,2,3,0,0,83
77,Jason Johannisen,12122,WB,CW,1,18,7,12,30,2,0,0,0,5,3,2,2,1,1,2,9,19,0,0,4,0,2,82
78,Lin Jong,12125,WB,CW,1,2,2,9,11,0,1,0,14,0,1,1,1,0,0,0,7,5,1,0,1,0,0,85
79,Tom Liberatore,11898,WB,CW,1,8,4,8,16,1,0,0,14,2,1,3,2,1,0,0,11,5,1,0,1,0,0,77
80,Jack Macrae,12166,WB,CW,1,15,7,10,25,0,0,0,7,4,2,2,1,2,0,0,5,19,0,0,2,0,0,79
81,Toby McLean,12363,WB,CW,1,8,5,5,13,1,0,0,7,0,3,1,1,1,0,0,5,8,0,1,0,0,0,76
82,Dale Morris,4084,WB,CW,1,6,7,10,16,0,0,0,1,3,1,0,2,0,1,0,5,12,2,0,10,0,0,97
83,Robert Murphy,468,WB,CW,1,15,6,7,22,0,0,0,1,2,5,1,2,0,0,0,4,16,0,0,0,1,2,87
84,Liam Picken,11731,WB,CW,1,12,8,8,20,2,0,0,4,2,2,1,0,1,0,0,6,13,1,1,0,0,0,80
85,Fletcher Roberts,12126,WB,CW,1,8,2,2,10,0,0,0,2,4,0,0,2,1,0,0,4,4,1,0,11,0,0,92
86,Jake Stringer,12167,WB,CW,1,11,7,3,14,1,3,0,4,0,2,1,3,0,2,0,4,12,1,3,1,1,0,78
87,Matt Suckling,11718,WB,CW,1,17,11,2,19,0,0,0,2,5,5,0,2,0,2,0,3,15,1,0,2,1,0,74
88,Easton Wood,11788,WB,CW,1,9,8,5,14,0,0,0,2,3,0,0,0,0,0,0,5,9,2,0,2,0,0,82
89,Angus Brayshaw,12322,ME,SK,1,8,5,13,21,1,0,0,3,1,1,3,1,0,0,0,9,13,0,1,1,0,0,81
90,Jeff Garlett,11711,ME,SK,1,7,1,2,9,3,1,0,4,1,3,0,2,0,0,0,4,5,0,0,1,1,0,94
91,Max Gawn,11966,ME,SK,1,9,4,4,13,0,1,49,4,1,2,3,3,1,1,1,7,5,0,2,2,0,1,84
92,Mitch Hannan,12492,ME,SK,1,10,7,6,16,2,0,0,4,0,5,1,2,0,1,0,4,13,0,2,1,0,3,82
93,Jesse Hogan,12321,ME,SK,1,16,8,5,21,3,1,0,4,1,5,3,2,1,0,0,9,10,4,5,2,0,0,90
94,Jayden Hunt,4729,ME,SK,1,14,5,5,19,0,1,0,5,0,4,0,3,2,1,0,4,15,0,0,2,1,1,89
95,Neville Jetta,11723,ME,SK,1,11,5,9,20,1,0,0,2,2,0,0,4,1,2,0,8,11,1,0,3,0,0,79
96,Nathan Jones,2447,ME,SK,1,15,6,20,35,1,0,0,4,2,5,4,1,1,0,2,10,25,0,0,1,0,1,87
97,Jordan Lewis,4077,ME,SK,1,18,9,14,32,0,0,0,3,0,6,4,6,1,1,0,9,24,0,1,2,0,0,87
98,Oscar McDonald,12394,ME,SK,1,13,5,6,19,0,0,0,2,2,0,1,4,0,1,0,9,10,1,0,8,0,0,91
99,Tom McDonald,12009,ME,SK,1,18,13,6,24,0,0,0,1,4,1,0,5,1,2,0,2,22,0,0,9,0,0,97
100,Jake Melksham,11820,ME,SK,1,11,9,4,15,0,0,0,1,3,0,0,4,0,4,0,1,16,0,0,0,0,0,73
101,Alex Neal-Bullen,12367,ME,SK,1,16,5,7,23,1,3,0,6,0,6,4,3,0,0,0,10,13,1,1,1,0,0,82
102,Clayton Oliver,12410,ME,SK,1,9,5,27,36,0,0,0,7,1,0,9,5,1,1,3,14,22,0,0,1,0,1,75
103,Christian Petracca,12430,ME,SK,1,14,6,9,23,2,0,0,0,0,5,1,4,1,0,0,11,12,1,2,0,0,2,90
104,Christian Salem,12272,ME,SK,1,17,8,3,20,0,0,0,2,3,3,0,2,0,2,0,2,17,0,0,1,0,1,85
105,Joel Smith,12493,ME,SK,1,3,1,2,5,0,0,0,1,1,0,0,2,1,1,0,3,2,1,0,1,0,0,14
106,Billy Stretch,12353,ME,SK,1,6,3,20,26,1,1,0,2,0,1,3,1,1,0,0,8,19,0,1,2,0,0,85
107,Bernie Vince,4151,ME,SK,1,19,8,11,30,1,0,0,0,2,0,0,3,0,2,0,5,23,0,0,4,0,0,85
108,Jack Viney,12147,ME,SK,1,9,2,14,23,0,0,0,5,0,2,8,1,3,0,0,12,10,0,0,1,0,0,85
109,Jack Watts,11765,ME,SK,1,8,6,4,12,1,1,5,0,0,4,0,1,0,1,0,1,11,0,2,0,0,0,80
110,Sam Weideman,12475,ME,SK,1,4,2,8,12,1,1,0,1,0,2,0,1,0,0,0,5,8,0,0,3,0,2,86
111,David Armitage,11570,SK,ME,1,6,2,10,16,1,1,0,3,1,0,0,4,3,2,0,7,12,0,0,2,0,1,76
112,Jack Billings,12249,SK,ME,1,10,2,10,20,1,1,0,3,0,3,2,3,0,0,0,9,10,0,1,0,0,0,89
113,Nathan Brown,11627,SK,ME,1,2,2,7,9,0,0,0,1,2,0,0,1,0,1,0,5,4,0,0,11,0,0,90
114,Josh Bruce,12065,SK,ME,1,6,2,7,13,1,0,0,1,0,2,2,1,2,1,0,8,6,1,0,1,0,0,88
115,Jake Carlisle,11871,SK,ME,1,5,2,6,11,0,0,0,1,4,0,0,0,0,0,0,8,2,1,0,4,0,0,86
116,Luke Dunstan,12247,SK,ME,1,8,4,8,16,1,0,0,3,1,4,4,0,1,0,0,6,10,0,0,1,0,0,73
117,Jarryn Geary,11630,SK,ME,1,10,3,10,20,0,0,0,1,2,1,2,3,0,0,0,7,15,0,0,4,2,0,91
118,Sam Gilbert,4178,SK,ME,1,6,3,5,11,0,0,0,3,0,1,0,1,0,1,0,4,7,0,0,2,0,0,74
119,Jade Gresham,12415,SK,ME,1,9,4,3,12,3,1,0,1,0,3,0,2,0,1,0,5,8,0,2,1,0,1,77
120,Tom Hickey,12003,SK,ME,1,4,1,4,8,0,0,18,2,0,0,2,3,0,2,0,5,3,1,0,0,0,1,90
121,Jack Lonie,12324,SK,ME,1,8,0,7,15,1,1,0,6,0,3,3,5,2,2,0,9,5,0,0,0,1,1,75
122,Tim Membrey,12300,SK,ME,1,10,2,5,15,1,1,0,3,0,5,0,3,3,0,0,9,7,1,1,0,0,1,86
123,Jack Newnes,12050,SK,ME,1,12,6,8,20,0,0,0,2,6,2,5,4,0,0,0,7,13,0,0,2,0,0,88
124,Nick Riewoldt,981,SK,ME,1,12,7,2,14,4,0,0,3,0,4,0,2,2,0,0,6,8,3,3,0,0,0,83
125,Dylan Roberton,11839,SK,ME,1,10,4,9,19,0,1,0,2,3,1,1,2,0,0,0,2,16,0,0,3,0,0,84
126,Sebastian Ross,12132,SK,ME,1,8,1,8,16,0,0,1,1,0,3,2,4,0,2,0,4,12,0,0,0,0,0,81
127,Shane Savage,11793,SK,ME,1,8,3,7,15,0,0,0,2,7,1,0,2,0,1,0,3,10,0,0,1,1,0,87
128,Jack Steele,12368,SK,ME,1,8,7,15,23,0,1,0,4,2,1,3,1,2,0,0,12,13,2,1,2,0,0,78
129,Jack Steven,11791,SK,ME,1,17,4,10,27,0,1,0,3,2,4,3,4,1,1,0,8,17,0,0,2,2,0,80
130,Jimmy Webster,12188,SK,ME,1,10,1,4,14,0,0,0,2,1,1,1,3,0,0,0,5,9,0,0,2,0,0,73
131,Maverick Weller,11922,SK,ME,1,7,4,8,15,0,2,0,5,1,2,1,3,4,1,0,7,8,0,2,0,0,0,86
132,Nathan Wright,12160,SK,ME,1,3,0,5,8,0,0,0,1,0,2,0,0,0,0,0,3,4,0,0,1,0,0,66
133,Karl Amon,12357,PA,SY,1,4,2,5,9,1,0,0,1,0,1,1,1,2,1,0,3,6,0,0,1,0,1,57
134,Travis Boak,11583,PA,SY,1,15,4,11,26,2,0,0,3,2,4,3,7,0,2,2,10,16,0,0,2,0,0,83
135,Matthew Broadbent,11782,PA,SY,1,11,3,1,12,0,0,0,1,5,1,1,4,0,2,0,3,7,0,0,1,0,1,78
136,Darcy Byrne-Jones,12422,PA,SY,1,12,3,3,15,1,0,0,3,3,1,1,2,0,0,0,6,9,0,1,5,0,0,80
137,Tom Clurey,12238,PA,SY,1,8,6,4,12,0,0,0,2,3,0,0,2,0,2,0,4,8,1,0,2,0,0,96
138,Charlie Dixon,11914,PA,SY,1,8,2,4,12,2,3,2,5,0,2,1,1,3,1,0,7,6,1,1,0,0,0,85
139,Brad Ebert,11639,PA,SY,1,17,2,8,25,0,0,0,11,0,7,9,2,2,1,0,14,8,1,0,2,0,2,83
140,Brett Eddy,12496,PA,SY,1,2,1,1,3,0,0,0,2,0,1,0,2,1,1,0,2,1,1,0,1,0,2,62
141,Robbie Gray,11578,PA,SY,1,3,1,5,8,0,0,0,1,0,2,2,2,1,2,0,7,5,0,0,1,1,1,92
142,Sam Gray,12262,PA,SY,1,13,5,4,17,0,0,0,2,3,4,0,9,0,2,0,7,10,0,0,2,1,0,86
143,Hamish Hartlett,11740,PA,SY,1,12,4,5,17,1,0,0,3,6,3,0,2,5,0,0,8,9,0,0,0,0,0,76
144,Jack Hombsch,12021,PA,SY,1,9,5,3,12,0,0,0,1,3,2,0,4,1,2,0,8,5,1,0,5,0,1,91
145,Dan Houston,12495,PA,SY,1,10,6,2,12,0,0,0,2,3,2,0,0,1,0,0,4,8,1,0,1,0,0,82
146,Tom Jonas,12002,PA,SY,1,10,8,3,13,0,0,0,3,3,0,0,2,2,1,0,4,10,0,0,9,0,0,96
147,Jared Polec,11927,PA,SY,1,13,1,6,19,1,0,0,5,3,6,2,6,1,1,0,10,9,0,0,3,0,0,87
148,Sam Powell-Pepper,12494,PA,SY,1,12,3,7,19,2,1,0,2,1,5,7,6,0,3,0,8,9,0,1,1,0,0,67
149,Paddy Ryder,4144,PA,SY,1,7,3,6,13,0,1,28,3,1,2,5,5,3,2,0,13,3,2,1,4,0,0,86
150,Jackson Trengove,11812,PA,SY,1,7,3,5,12,1,0,12,2,0,1,5,3,1,3,0,6,5,2,1,1,0,0,72
151,Justin Westhoff,11579,PA,SY,1,9,5,5,14,0,0,0,2,2,2,2,1,1,0,0,4,9,0,0,4,0,0,84
152,Ollie Wines,12150,PA,SY,1,17,3,16,33,0,1,0,5,3,5,9,4,0,1,1,16,16,0,0,3,0,2,83
153,Chad Wingard,12047,PA,SY,1,8,4,11,19,3,1,0,3,1,4,0,1,1,0,0,8,11,1,1,1,1,1,89
154,Aaron Young,12068,PA,SY,1,8,3,9,17,3,1,0,3,1,1,1,3,2,2,0,9,8,1,1,0,0,0,84
155,Harry Cunningham,12015,SY,PA,1,7,2,5,12,0,0,0,3,0,1,0,2,0,1,0,4,6,0,0,1,0,0,94
156,Oliver Florent,12497,SY,PA,1,5,0,3,8,0,0,0,3,0,2,1,1,1,1,0,5,4,0,0,1,0,1,68
157,Jordan Foote,12465,SY,PA,1,8,4,4,12,0,2,0,5,2,1,1,5,1,3,0,3,9,0,1,0,0,1,75
158,Lance Franklin,4065,SY,PA,1,13,7,5,18,4,2,0,3,0,5,1,0,2,0,3,9,9,3,3,1,0,0,96
159,Heath Grundy,1401,SY,PA,1,14,11,7,21,0,0,0,1,4,2,0,6,0,4,0,3,18,0,0,4,0,0,95
160,Dan Hannebery,11783,SY,PA,1,7,3,11,18,0,0,0,0,1,3,2,2,0,1,0,5,12,0,0,1,0,0,72
161,George Hewett,12411,SY,PA,1,5,2,14,19,0,0,0,9,0,2,7,2,2,0,0,12,8,0,0,1,0,0,77
162,Kieren Jack,11546,SY,PA,1,13,7,8,21,1,1,0,0,3,5,4,7,0,3,0,8,13,0,1,1,0,2,73
163,Zak Jones,12288,SY,PA,1,14,7,11,25,1,0,0,2,3,5,1,3,0,1,0,5,23,0,0,1,0,1,86
164,Josh Kennedy,11672,SY,PA,1,13,2,15,28,1,1,0,9,2,8,10,2,3,1,0,19,8,0,0,0,0,0,88
165,Jeremy Laidler,11778,SY,PA,1,8,3,5,13,0,1,0,3,1,2,0,1,2,0,0,4,7,1,1,7,0,1,81
166,Jake Lloyd,12268,SY,PA,1,16,6,7,23,0,0,0,2,7,1,0,2,2,1,0,2,18,0,0,2,0,0,93
167,Harrison Marsh,12445,SY,PA,1,12,4,12,24,0,0,0,2,3,4,0,2,3,0,0,9,15,0,0,1,2,0,80
168,Callum Mills,12413,SY,PA,1,14,4,4,18,0,0,0,2,2,5,2,4,3,2,0,6,12,0,0,3,0,0,87
169,Sam Naismith,12313,SY,PA,1,5,3,4,9,0,1,34,5,0,1,2,5,1,3,0,5,5,0,1,4,0,1,81
170,Luke Parker,11953,SY,PA,1,17,2,8,25,0,0,0,7,0,6,6,5,4,2,0,12,12,1,0,2,0,1,89
171,Dane Rampe,12140,SY,PA,1,6,4,3,9,0,0,0,4,3,0,0,0,0,0,0,2,7,0,0,4,0,0,92
172,Sam Reid,11880,SY,PA,1,8,7,5,13,3,0,0,3,1,2,0,2,1,1,0,7,7,3,3,1,0,0,83
173,Dan Robinson,12361,SY,PA,1,2,0,4,6,1,0,0,0,0,1,0,2,0,1,0,3,3,0,0,0,0,0,35
174,Nick Smith,11653,SY,PA,1,7,4,8,15,0,0,0,1,3,0,1,5,1,1,0,5,10,0,0,2,0,0,94
175,Kurt Tippett,11633,SY,PA,1,7,4,3,10,1,0,15,4,1,3,0,2,2,1,0,9,4,2,0,3,0,0,80
176,Dean Towers,12297,SY,PA,1,7,2,4,11,0,1,0,2,0,2,1,1,1,0,0,2,8,0,1,1,0,0,82
177,Harris Andrews,12340,BL,GC,1,3,4,4,7,0,0,0,2,3,0,1,1,0,1,0,4,3,2,0,16,0,0,94
178,Jake Barrett,12400,BL,GC,1,7,3,4,11,0,1,0,5,0,1,1,1,0,1,0,2,8,0,1,2,0,1,74
179,Ryan Bastinac,11811,BL,GC,1,8,4,6,14,3,0,0,5,0,2,0,0,0,0,0,5,9,0,1,0,0,0,73
180,Dayne Beams,11728,BL,GC,1,14,2,14,28,0,1,0,6,4,4,5,2,2,0,3,10,13,0,0,0,0,1,82
181,Tom Bell,12115,BL,GC,1,5,1,5,10,1,0,0,1,0,0,0,4,0,1,0,7,4,0,0,1,0,1,83
182,Rohan Bewick,11895,BL,GC,1,9,4,11,20,1,1,0,2,2,0,2,4,1,1,0,10,11,0,1,0,1,0,81
183,Michael Close,12251,BL,GC,1,4,0,2,6,1,0,2,5,1,0,0,1,1,1,0,2,1,0,0,4,0,1,73
184,Tom Cutler,12265,BL,GC,1,19,2,5,24,0,0,0,0,10,2,0,1,1,0,0,6,11,0,0,1,2,0,85
185,Darcy Gardiner,12267,BL,GC,1,6,3,6,12,0,0,0,4,4,1,1,2,0,2,0,6,6,0,0,7,0,0,88
186,Ryan Harwood,11863,BL,GC,1,2,1,6,8,0,0,0,1,3,0,0,2,0,1,0,1,6,0,0,5,0,0,81
187,Eric Hipwood,12454,BL,GC,1,8,5,4,12,2,0,0,1,0,3,0,0,1,0,0,8,4,3,2,1,0,1,85
188,Ben Keays,12434,BL,GC,1,7,5,7,14,0,1,0,3,1,1,1,3,0,1,0,5,8,0,0,1,0,0,76
189,Ryan Lester,11894,BL,GC,1,9,3,2,11,1,0,0,4,2,3,1,1,1,0,0,3,9,0,0,1,0,1,74
190,Stefan Martin,11684,BL,GC,1,10,4,13,23,0,0,33,1,2,1,7,5,2,2,0,14,8,1,0,0,0,0,90
191,Sam Mayes,12162,BL,GC,1,13,2,8,21,0,0,0,2,6,2,1,2,2,1,0,12,7,0,0,4,1,0,88
192,Daniel McStay,12291,BL,GC,1,4,3,6,10,0,0,0,3,2,0,0,3,1,1,0,7,3,1,0,1,0,0,79
193,Daniel Rich,11725,BL,GC,1,8,2,4,12,1,1,0,3,3,3,3,4,0,3,0,5,8,0,1,6,0,1,76
194,Nick Robertson,12264,BL,GC,1,8,2,3,11,0,0,0,3,5,0,0,5,2,1,0,5,6,0,0,0,0,0,86
195,Mitch Robinson,11710,BL,GC,1,6,1,8,14,2,0,0,3,1,3,1,3,0,1,0,7,8,1,1,3,0,0,88
196,Tom Rockliff,11787,BL,GC,1,22,5,15,37,0,0,0,4,5,6,9,4,3,1,0,23,16,0,0,0,0,0,75
197,Lewis Taylor,12252,BL,GC,1,7,3,7,14,1,1,0,6,0,2,0,1,0,0,0,5,9,0,0,2,0,2,82
198,Dayne Zorko,12076,BL,GC,1,13,2,10,23,2,0,0,10,2,8,0,5,2,1,0,12,12,0,0,1,0,1,86
199,Gary Ablett,1105,GC,BL,1,16,1,12,28,0,0,0,8,1,12,5,4,1,1,0,13,15,0,0,3,0,2,82
200,Callum Ah Chee,12414,GC,BL,1,6,3,6,12,1,0,0,3,0,2,1,3,1,2,0,6,7,0,2,3,0,1,69
201,Ben Ainsworth,12498,GC,BL,1,8,4,6,14,2,1,0,6,0,2,2,2,1,0,0,8,6,0,1,1,1,1,70
202,Michael Barlow,11809,GC,BL,1,9,2,15,24,1,0,0,7,0,4,8,2,0,1,0,12,11,0,1,1,0,1,85
203,Jack Bowes,12499,GC,BL,1,6,3,5,11,0,0,0,3,0,3,0,1,0,1,0,5,7,0,0,2,0,0,65
204,Aaron Hall,12041,GC,BL,1,16,5,9,25,2,0,0,4,2,7,5,2,3,1,2,10,16,0,0,1,2,0,81
205,Pearce Hanley,11704,GC,BL,1,11,4,6,17,0,0,0,2,1,3,1,5,1,2,0,8,10,0,0,1,0,0,81
